initial_state,initial_A_ug_m3,initial_B_ug_m3,initial_C_ug_m3,horizon_h,schedule,first_room,second_room,is_fixed_placement,cleaner_capacity_m3_h,cleaner_operating_h,clean_air_budget_m3,final_A_ug_m3,final_B_ug_m3,final_C_ug_m3,integrated_A_ug_h_m3,integrated_B_ug_h_m3,integrated_C_ug_h_m3,J_mean_ug_h_m3,improvement_A_ug_h_m3,improvement_A_percent,improvement_B_ug_h_m3,improvement_B_percent,improvement_C_ug_h_m3,improvement_C_percent,improvement_J_ug_h_m3,improvement_J_percent
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,B->A,B,A,False,100.0,1.0,100.0,1.2335670706015798,1.4251906092031108,1.662661689125799,2.004318986429834,1.5246726536936435,1.8327910628683708,1.7872609009972826,0.2870999974396429,12.529354057930622,0.4540475094850085,22.946524624058934,0.08263761774612766,4.3143145230349305,0.27459504155692627,13.317857755705298
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,B->B,B,B,True,100.0,1.0,100.0,1.8855998831831955,1.049928407746394,1.611194065136182,2.1990506126688802,1.4100605015690464,1.8230603094139024,1.810723807883943,0.09236837120059649,4.03105550974426,0.5686596616096056,28.7387611543868,0.09236837120059604,4.822334140416174,0.25113213467026596,12.179906922069721
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,B->C,B,C,False,100.0,1.0,100.0,1.938264695665002,1.4387573332670183,1.068188421128149,2.208946278714998,1.527264925788002,1.6610002173186098,1.7990704739405363,0.08247270515447891,3.599197952668123,0.45145523739064997,22.8155171100811,0.25442846329588864,13.283108155938448,0.2627854686136726,12.745093543641863
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,C->A,C,A,False,100.0,1.0,100.0,1.329506520398785,1.67302817545813,1.3026796683222666,2.065194766568646,1.8827741612105853,1.4229647390109008,1.7903112222633772,0.22622421730083087,9.872669245273086,0.09594600196806669,4.848891912737034,0.49246394160359763,25.71037734725825,0.27154472029083165,13.169917193848397
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,C->B,C,B,False,100.0,1.0,100.0,2.005063869372105,1.1891502489471035,1.2342965383141855,2.2667782375942016,1.7302616238572508,1.4098428412299244,1.8022942342271255,0.024640746275275127,1.0753487881847237,0.24845853932140116,12.55652739305354,0.505585839384574,26.395440587345412,0.25956170832708336,12.5887411904025
"(2.5, 2, 2)",2.5,2.0,2.0,1.0,C->C,C,C,True,100.0,1.0,100.0,2.0768097333975093,1.7111351943703368,0.8649811645742934,2.280363351640154,1.8900554887632044,1.3000291123795682,1.823482650927642,0.011055632229322931,0.4824797344854624,0.08866467441544756,4.480910240132946,0.6153995682349302,32.128555579396505,0.23837329162656684,11.5611031162183
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,none,none,none,False,0.0,0.0,0.0,1.326624485021664,1.314093852272722,1.3017309508377315,8.9731569557278,8.421037316916685,8.18131284603435,8.525169039559612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,A->A,A,A,True,100.0,5.0,500.0,0.21732691944227195,0.5876672120140245,0.7947772028601359,3.2824140290700146,5.938378731908589,6.957353605156932,5.392715455378512,5.690742926657785,63.419629844156866,2.482658585008096,29.481624312729057,1.2239592408774183,14.960425837653872,3.1324535841811008,36.743594990849765
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,A->B,A,B,False,100.0,5.0,500.0,0.3698273211852231,0.26789658089530455,0.5788892264358667,3.6570753051045077,5.141919759191851,6.6534510886000975,5.150815384298819,5.316081650623293,59.24427352437983,3.2791175577248337,38.939591814152706,1.5278617574342528,18.675019354318405,3.3743536552607933,39.581076217992546
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,A->C,A,C,False,100.0,5.0,500.0,0.5179895682796554,0.45130320093477405,0.19669777333112198,3.8927820250913037,5.721092317364871,5.59622747498096,5.070033939145712,5.080374930636497,56.61747538466449,2.699944999551814,32.06190517797615,2.58508537105339,31.59743942937513,3.4551351004139006,40.52864036338667
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,B->A,B,A,False,100.0,5.0,500.0,0.18668256886888862,0.4677614733042387,0.6079552744223505,5.510893550615974,4.144858311572011,5.774123135606089,5.143291665931359,3.462263405111826,38.58467451526937,4.276179005344674,50.779718037283,2.407189710428261,29.423024833906396,3.381877373628254,39.66932922895981
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,B->B,B,B,True,100.0,5.0,500.0,0.5046844772902785,0.2764224525303998,0.4797909431063462,6.386829400002439,3.6735642345834854,5.594985290308991,5.218459641631639,2.5863275557253615,28.822939000018728,4.747473082333199,56.37634537963857,2.586327555725359,31.612622624240615,3.306709397927974,38.78761092693582
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,B->C,B,C,False,100.0,5.0,500.0,0.6409130839039883,0.48399868384333555,0.1891389339024301,6.574087492702246,4.170731159050672,4.800323879051065,5.181714176934661,2.3990694630255547,26.73606931052472,4.250306157866013,50.47247741472114,3.380988966983285,41.3257508985507,3.3434548626249514,39.21863422426243
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,C->A,C,A,False,100.0,5.0,500.0,0.21124964415655106,0.48178924505104503,0.5496366343687313,6.402776425004177,5.963584784604421,3.6806885912276415,5.349016600278747,2.5703805307236234,28.645219774996608,2.4574525323122636,29.18230189261346,4.500624254806709,55.01102744149741,3.176152439280865,37.25618136769446
"(2.5, 2, 2)",2.5,2.0,2.0,5.0,C->B,C,B,False,100.0,5.0,500.0,0.6329290110758169,0.28975204740390326,0.39336566137707674,7.571326094915832,5.3514493360506314,3.4310273390855732,5.451267590017346,1.4018308608119687,15.622493485050917,3.0695879808660536,36.45142356393174,4.750285506948777,58.06263122246129,3.0739014495422667,36.05678005067518
